"Fafleralp"
"Schwarzsee, Bad"
"Kemmeriboden"
"Vrin, Puzzatsch"
"Campascio"
"Mettlenalp (Napf)"
"Savièse, Senin"
"Soazza, Boffalora"
"Les Verrières, douane"
"Chiasso"
"Scaiano, Paese"
"Lelgio, Paese"
"Bargen SH, Dorf"
"Rheinfelden, Untere Marktgasse"
"Lenk, Iffigenalp"
"Nufenen Passhöhe"
"Walenstadtberg, Reha-Klinik"
"St-Gingolph (Suisse)"
"Damvant, église"
"Mürren (Schilthornbahn)"
"Chancy, douane"
"Roggenburg, Neumühle"
"Solalex"
"Isone, Piazzale"
"Selden, Hotel Gasterntal"
"Arbon"
"Splügenpass, ital. Zoll"
"Jungfraujoch"
"Malbun, Zentrum"
"Le Creux VD"
"S-charl"
"Obererbs, Skihütte"
"Oberiberg, Wandli"
"Stein am Rhein, Bahnhof"
"Zwischbergen, Bord"
"Samnaun-Dorf, Musella"
"Indemini, Paese"
"Veyrier, douane"
"Alp Camp"
"S. Carlo (Bavona), Ponte"
"Im Fang, Dorf"
"Klosters, Monbiel Parkplatz"
"Le Châtelard VS, Frontière"
"Münsterlingen Spital"
"Müstair, cunfin"
"Cry-d'Er (Crans-s.-S.)"
"Rheineck"
"Predelp"
"Lauenensee"
"Lukmanier Passhöhe"
"Davos Dischma, Dürrboden"
"Schuders"
"Susten Passhöhe"
"Les Brenets, Parc des Pargots"
"Davos Dorf, Alpenrose"
"Goumois, douane"
"Bosco/Gurin, Paese"
"S. Bernardino, Ospizio"
"Leontica, Chiesa"
"Griesalp, Kurhaus"
"Steckborn"
"Moiry VS, glacier"
"Bad Zurzach"
"Trient, Le Peuty"
"Le Grand-St-Bernard, Hospice"
"Mauvoisin"
"Habkern, Steinacker"
"Schwanden (Sigriswil), Säge"
"Morgins, garage communal"
"Furka Passhöhe"
"Arogno, Paese"
"Binn, Brunnebiel"
"Sedrun"
"Sigirino, Piazza"
"Arolla, poste"
"Trasadingen, Schule"
"Kreuzlingen, Bahnhof"
"Göscheneralp, Dammagletscher"
"Etzgen, Schulhaus"
"Umbrail, Schweizer Zoll"
"Hoch-Ybrig Seebli"
"Camedo"
"Col-de-la-Croix"
"L'Auberson, La Grand'Borne"
"Gitschenen"
"St. Antönien, Gafia Edelweiss"
"Brunni SZ (Talstation Holzegg)"
"Morcote, Parco Scherrer"
"La Cure"
"Ermatingen"
"Chironico, Grumo"
"Grindelwald, Abzw. Gleckstein"
"Landecy, La Mûre"
"Engstligenalp"
"St. Antönien, PartnunAlpenrösli"
"Chavannes-de-Bogis, douane"
"Brissago, Co' di Campo"
"Castasegna, Vecchia Dogana"
"Flumserberg, Oberberg"
"Sörenberg, Schwändili"
"Wil ZH, Lirenhof"
"Runcahez Val Sumvitg"
"Cimalmotto"
"Cozzo, Paese"
"Boncourt, poste"
"Lenk, Simmenfälle"
"Finsterwald LU, Gründli"
"Gandria, Dogana"
"Jussy, Monniaz-Hameau"
"Barzheim, Dorf"
"Fürenalp"
"Champéry"
"Vals, Zervreila"
"Mattmark"
"Anzère, Barrage de Tseuzier"
"Riehen, Grenze"
"Vergeletto, Funivia Salei"
"Buseno, Botteghe"
"Fusio, Paese"
"Carena"
"Buch SH, Dorf"
"Derborence"
"Les Plans-sur-Bex, village"
"Stein AG, Coop"
"Mayens-de-Chamoson, Chapelle"
"Spruga"
"Torgon, La Cheurgne"
"Roncapiano, Paese"
"Avers, Juf"
"Sertig, Sand"
"Fornasette, Dogana Svizzera"
"Innerthal, Post"
"Daubensee"
"Unterwasser, Post"
"Hohenems, Rossa"
"Le Brassus, Bas-du-Chenit"
"Serpiano, Albergo"
"Miex, Le Flon"
"Piano di Peccia"
"Brusino Arsizio, Confine"
"Ferpècle"
