"Bosco/Gurin, Paese"
"Cimalmotto"
"S. Carlo (Bavona), Ponte"
"Piano di Peccia"
"Fusio, Paese"
"Vergeletto, Funivia Salei"
"Spruga"
"Camedo"
"Brissago, Co' di Campo"
"Scaiano, Paese"
"Indemini, Paese"
"Fornasette, Dogana Svizzera"
"Ponte Tresa, Dogana"
"Morcote, Parco Scherrer"
"Brusino Arsizio, Confine"
"Serpiano, Albergo"
"Roncapiano, Paese"
"Chiasso"
"Arogno, Paese"
"Gandria, Dogana"
"Cozzo, Paese"
"Lelgio, Paese"
"Isone, Piazzale"
"Sigirino, Piazza"
"Carena"
"Buseno, Botteghe"
"S. Bernardino, Ospizio"
"Soazza"
"Rossa"
"Lukmanier Passhöhe"
"Pardatsch"
"Leontica, Chiesa"
"Predelp"
"Chironico, Grumo"
"Nufenen Passhöhe"
"Furka Passhöhe"
"Grimsel Passhöhe"
"Gletsch, Post"
"Binn, Brunnebiel"
"Zwischbergen, Bord"
"Mattmark"
"Moiry VS, glacier"
"Ferpècle"
"Arolla, poste"
"Mauvoisin"
"Le Grand-St-Bernard, Hospice"
"Ferret"
"Le Châtelard VS, Frontière"
"Trient, Le Peuty"
"Champéry"
"Morgins, garage communal"
"Torgon, La Cheurgne"
"Miex, Le Flon"
"St-Gingolph (Suisse)"
"Hermance, douane"
"Jussy, Monniaz-Hameau"
"Veyrier, douane"
"Landecy, La Mûre"
"Chancy, douane"
"Chavannes-de-Bogis, douane"
"La Cure"
"Le Brassus, Bas-du-Chenit"
"Le Creux VD"
"L'Auberson, La Grand'Borne"
"Les Verrières, douane"
"Les Brenets, Parc des Pargots"
"Goumois, douane"
"Damvant, église"
"Boncourt, poste"
"Roggenburg, Neumühle"
"Basel SBB"
"Riehen, Grenze"
"Rheinfelden, Untere Marktgasse"
"Stein AG, Coop"
"Etzgen, Schulhaus"
"Koblenz Dorf"
"Bad Zurzach"
"Wil ZH, Lirenhof"
"Trasadingen, Schule"
"Bargen SH, Dorf"
"Barzheim, Dorf"
"Buch SH, Dorf"
"Stein am Rhein, Bahnhof"
"Steckborn"
"Ermatingen"
"Kreuzlingen, Bahnhof"
"Münsterlingen Spital"
"Arbon"
"Rheineck"
"Diepoldsau, SchweizerZoll"
"Malbun, Zentrum"
"Schuders"
"St. Antönien, Partnun Alpenrösli"
"St. Antönien, Gafia Edelweiss"
"Klosters, Monbiel Parkplatz"
"Davos Dorf, Alpenrose"
"Davos Dischma, Dürrboden"
"Sertig, Sand"
"Samnaun-Dorf, Musella"
"S-charl"
"Müstair, cunfin"
"Umbrail, Schweizer Zoll"
"Alp Camp"
"Campascio"
"Castasegna, Vecchia Dogana"
"Avers, Juf"
"Splügenpass, ital. Zoll"
"Vals, Zervreila"
"Thalkirch, Turahus"
"Vrin, Puzzatsch"
"Runcahez Val Sumvitg"
"Sedrun"
"Göscheneralp, Dammagletscher"
"Susten Passhöhe"
"Grosse Scheidegg"
"Grindelwald, Abzw. Gleckstein"
"Jungfraujoch"
"Mürren (Schilthornbahn)"
"Griesalp, Kurhaus"
"Selden, Hotel Gasterntal"
"Fafleralp"
"Daubensee"
"Engstligenalp"
"Lenk, Simmenfälle"
"Lenk, Iffigenalp"
"Cry-d'Er (Crans-s.-S.)"
"Anzère, Barrage de Tseuzier"
"Lauenensee"
"Savièse, Senin"
"Solalex"
"Col-de-la-Croix"
"Les Plans-sur-Bex, village"
"Derborence"
"Mayens-de-Chamoson, Chapelle"
"Im Fang, Dorf,"
"Schwarzsee, Bad"
"Schwanden (Sigriswil), Säge"
"Habkern, Steinacker"
"Kemmeriboden"
"Sörenberg, Schwändili"
"Finsterwald LU, Gründli"
"Mettlenalp (Napf)"
"Fürenalp"
"Gitschenen"
"Sahli (Luftseilbahn Glattalp)"
"Klöntal, Richisau"
"Hoch-Ybrig Seebli"
"Oberiberg, Wandli"
"Brunni SZ (Talstation Holzegg)"
"Flumserberg, Oberberg"
"Walenstadtberg, Reha-Klinik"
"Unterwasser, Post"
"Innerthal, Post,"
"Elm, Obererbs Skihütte"
"Bern"
"Lausanne"
"Chur"

